,0,NorESM1-ME,CESM1-BGC,GFDL-ESM2M,MIROC-ESM,IPSL-CM5A-LR,CanESM2,GFDL-ESM2G,HadGEM2-ES,MPI-ESM-LR,inmcm4,MRI-ESM1,bcc-ccsm1-1,RCP8.5_concs
66,1916.0,-2.025000000000034,-3.125,2.6749999999999545,-0.9250000000000114,-4.8250000000000455,-6.025000000000034,6.1749999999999545,5.774999999999977,-0.8250000000000455,-11.725000000000023,-7.3250000000000455,-5.025000000000034,301.725
67,1917.0,-1.974999999999966,-3.875,4.324999999999989,0.32499999999998863,-4.774999999999977,-5.675000000000011,5.925000000000011,5.324999999999989,-1.0749999999999886,-11.175000000000011,-7.675000000000011,-4.675000000000011,302.075
68,1918.0,-2.0,-3.2999999999999545,5.0,1.3000000000000114,-4.699999999999989,-5.199999999999989,6.5,4.600000000000023,-0.5999999999999659,-11.0,-7.7999999999999545,-4.5,302.4
69,1919.0,-2.0,-2.8000000000000114,6.100000000000023,1.3000000000000114,-4.699999999999989,-6.099999999999966,6.800000000000011,4.5,-0.19999999999998863,-11.099999999999966,-8.399999999999977,-4.5,302.7
70,1920.0,-2.0249999999999773,-2.724999999999966,6.0750000000000455,0.9750000000000227,-4.324999999999989,-5.824999999999989,5.275000000000034,4.375,-0.2249999999999659,-11.024999999999977,-8.224999999999966,-5.224999999999966,303.025
71,1921.0,-2.0,-3.2999999999999545,5.5,0.6000000000000227,-3.8999999999999773,-5.7999999999999545,4.100000000000023,4.0,0.20000000000004547,-11.699999999999989,-8.599999999999966,-5.199999999999989,303.4
72,1922.0,-1.974999999999966,-2.7749999999999773,7.3250000000000455,-0.4749999999999659,-3.875,-5.274999999999977,4.8250000000000455,5.025000000000034,-0.7749999999999773,-12.174999999999955,-8.674999999999955,-4.375,303.775
73,1923.0,-2.0249999999999773,-2.8249999999999886,8.675000000000011,-1.2250000000000227,-3.9250000000000114,-3.3249999999999886,5.774999999999977,5.475000000000023,-1.625,-12.024999999999977,-8.824999999999989,-4.925000000000011,304.125
74,1924.0,-1.9249999999999545,-3.125,6.975000000000023,-0.9249999999999545,-3.724999999999966,-3.9249999999999545,5.275000000000034,6.5750000000000455,-1.3249999999999886,-12.324999999999989,-9.125,-5.024999999999977,304.525
75,1925.0,-1.9750000000000227,-2.875,6.4249999999999545,0.7249999999999659,-4.475000000000023,-6.175000000000011,6.4249999999999545,7.4249999999999545,-0.47500000000002274,-11.675000000000011,-9.575000000000045,-5.0750000000000455,304.975
76,1926.0,-2.0,-3.3999999999999773,7.400000000000034,1.2000000000000455,-4.5,-7.599999999999966,7.900000000000034,6.5,-0.7999999999999545,-11.399999999999977,-9.199999999999989,-5.399999999999977,305.4
77,1927.0,-1.9250000000000114,-3.3249999999999886,8.375,2.275000000000034,-4.224999999999966,-7.224999999999966,8.275000000000034,4.675000000000011,-0.9250000000000114,-11.724999999999966,-8.925000000000011,-5.224999999999966,305.825
78,1928.0,-2.0,-3.5,8.599999999999966,2.599999999999966,-3.400000000000034,-6.800000000000011,7.199999999999989,3.8000000000000114,-1.400000000000034,-11.900000000000034,-10.0,-6.199999999999989,306.3
