,ccf_warming,model,ccf_variant,rcp,base_warming,total_warming,ccf_ppm,ecs,tcr
10,0.16825803394384195,NorESM1-M,aldqn,rcp45,2.250783,2.419041033943842,46.65957369165051,2.8,1.4
11,0.1307925326249715,NorESM1-M,aldqp,rcp45,2.250783,2.381575532624972,35.93184754634183,2.8,1.4
12,0.4085532238054832,NorESM1-M,aldqq,rcp45,2.250783,2.659336223805483,120.39311084262079,2.8,1.4
13,-0.017948222601648123,NorESM1-M,aldre,rcp45,2.250783,2.232834777398352,-4.7521337917507935,2.8,1.4
14,-0.0946975248672031,NorESM1-M,aldrh,rcp45,2.250783,2.156085475132797,-24.60431030146367,2.8,1.4
15,0.21351726797224682,NorESM1-M,aldri,rcp45,2.250783,2.464300267972247,59.88653174686908,2.8,1.4
16,0.15724260342366622,NorESM1-M,aldrm,rcp45,2.250783,2.4080256034236664,43.48482600202328,2.8,1.4
17,0.12745432318698868,NorESM1-M,aldrn,rcp45,2.250783,2.3782373231869887,34.98559602960336,2.8,1.4
18,0.039338643721268836,NorESM1-M,aldrq,rcp45,2.250783,2.2901216437212693,10.564212064181561,2.8,1.4
19,0.06235510849644229,NorESM1-M,aldsb,rcp45,2.250783,2.3131381084964424,16.841045761996384,2.8,1.4
20,-0.16927216707777248,NorESM1-M,aldsh,rcp45,2.250783,2.081510832922228,-43.18625013089246,2.8,1.4
21,-0.01559255935911187,NorESM1-M,aldsi,rcp45,2.250783,2.2351904406408885,-4.1308265420617545,2.8,1.4
22,0.12490008908128612,NorESM1-M,aldsj,rcp45,2.250783,2.3756830890812863,34.26262380852347,2.8,1.4
23,0.03852511230261453,NorESM1-M,aldsl,rcp45,2.250783,2.289308112302615,10.343656622473532,2.8,1.4
24,0.3618162017650306,NorESM1-M,aldso,rcp45,2.250783,2.612599201765031,105.35828104709094,2.8,1.4
25,0.06518403035947297,NorESM1-M,aldsp,rcp45,2.250783,2.3159670303594733,17.617459230301733,2.8,1.4
26,0.12385442438582561,NorESM1-M,aldsq,rcp45,2.250783,2.374637424385826,33.9669130162664,2.8,1.4
0,-0.01258364906696075,NorESM1-ME,aldpb,rcp45,2.2586419,2.2460582509330393,-2.9202844638472243,,1.6
