,ccf_warming,model,ccf_variant,rcp,base_warming,total_warming,ccf_ppm,ecs,tcr
9,-0.03374599361591758,HadGEM2-AO,inmcm4,rcp60,3.3459404,3.3121944063840822,-6.222999999999956,4.6,2.5
10,-0.501918741356496,HadGEM2-AO,MRI-ESM1,rcp60,3.3459404,2.844021658643504,-86.82299999999998,4.6,2.5
11,0.059830562555788024,HadGEM2-AO,bcc-ccsm1-1,rcp60,3.3459404,3.405770962555788,11.177000000000021,4.6,2.5
0,-0.006066538789236305,HadGEM2-ES,NorESM1-ME,rcp60,3.7628133,3.7567467612107635,-1.1229999999999336,4.6,2.5
1,0.6389166405443097,HadGEM2-ES,CESM1-BGC,rcp60,3.7628133,4.4017299405443095,129.4770000000001,4.6,2.5
2,0.22838021750977833,HadGEM2-ES,GFDL-ESM2M,rcp60,3.7628133,3.991193517509778,43.67700000000002,4.6,2.5
3,0.4803465409599176,HadGEM2-ES,MIROC-ESM,rcp60,3.7628133,4.243159840959917,95.17700000000002,4.6,2.5
4,-0.11028014722919291,HadGEM2-ES,IPSL-CM5A-LR,rcp60,3.7628133,3.652533152770807,-20.122999999999934,4.6,2.5
5,0.34308413232234874,HadGEM2-ES,CanESM2,rcp60,3.7628133,4.105897432322348,66.67700000000002,4.6,2.5
6,0.2151817073429014,HadGEM2-ES,GFDL-ESM2G,rcp60,3.7628133,3.9779950073429013,41.077,4.6,2.5
7,0.23496144518620438,HadGEM2-ES,HadGEM2-ES,rcp60,3.7628133,3.9977747451862045,44.97700000000009,4.6,2.5
8,0.03425735147555551,HadGEM2-ES,MPI-ESM-LR,rcp60,3.7628133,3.7970706514755554,6.377000000000066,4.6,2.5
9,-0.03374599361591758,HadGEM2-ES,inmcm4,rcp60,3.7628133,3.7290673063840822,-6.222999999999956,4.6,2.5
10,-0.501918741356496,HadGEM2-ES,MRI-ESM1,rcp60,3.7628133,3.260894558643504,-86.82299999999998,4.6,2.5
11,0.059830562555788024,HadGEM2-ES,bcc-ccsm1-1,rcp60,3.7628133,3.822643862555788,11.177000000000021,4.6,2.5
0,-0.004853231031389044,IPSL-CM5A-LR,NorESM1-ME,rcp60,3.7431481,3.738294868968611,-1.1229999999999336,4.1,2.0
1,0.5111333124354478,IPSL-CM5A-LR,CESM1-BGC,rcp60,3.7431481,4.254281412435448,129.4770000000001,4.1,2.0
2,0.18270417400782266,IPSL-CM5A-LR,GFDL-ESM2M,rcp60,3.7431481,3.9258522740078226,43.67700000000002,4.1,2.0
3,0.3842772327679341,IPSL-CM5A-LR,MIROC-ESM,rcp60,3.7431481,4.127425332767934,95.17700000000002,4.1,2.0
4,-0.08822411778335432,IPSL-CM5A-LR,IPSL-CM5A-LR,rcp60,3.7431481,3.6549239822166455,-20.122999999999934,4.1,2.0
